City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Tautira,PF,73.0,overcast clouds,-17.7333,-149.15,Pension Oaoa
131,Shihezi,CN,79.81,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
132,Pacific Grove,US,74.8,overcast clouds,36.6177,-121.9166,Lovers Point Inn
134,Zamora,EC,74.44,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
139,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
143,Ponta Do Sol,PT,81.01,few clouds,32.6667,-17.1,Hotel do Campo
144,Sirpur,IN,80.47,overcast clouds,19.4833,79.6,Sathyamma Hotel
145,Nevers,FR,72.19,overcast clouds,46.9167,3.3333,Castle Prye
148,Kibungo,RW,76.12,broken clouds,-2.1597,30.5427,Kibungo - Centre St. Joseph Guest House
149,Broome,US,74.7,clear sky,42.2506,-75.833,Chenango Valley State Park
152,Shingu,JP,79.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
153,Tarutyne,UA,77.43,moderate rain,46.1858,29.1506,Hotel Bessarabien Haus
155,Labuhan,ID,76.93,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
156,Dingle,PH,78.35,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
158,Kyaikkami,MM,78.21,light rain,16.08,97.5675,Happy Family Kyaikkami
159,Dunmore Town,BS,83.44,light rain,25.5,-76.65,Coral Sands Hotel
164,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
168,Jiuquan,CN,71.62,clear sky,39.7432,98.5174,Jiuquan Hotel
169,Filadelfia,US,79.18,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
171,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
173,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
178,Ucluelet,CA,73.04,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
184,Naugachhia,IN,81.91,overcast clouds,25.4,87.1,La Flora Adam Estate
187,Kavieng,PG,82.2,light rain,-2.5744,150.7967,Nusa Island Retreat
191,Beaver Dam,US,76.46,scattered clouds,43.4578,-88.8373,"AmericInn by Wyndham, Beaver Dam"
194,Yellowknife,CA,75.72,scattered clouds,62.456,-114.3525,The Explorer Hotel
196,Gimli,CA,82.44,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
197,Madang,PG,77.63,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
206,Samarai,PG,77.85,broken clouds,-10.6167,150.6667,Nuli Sapi
209,Pangkalanbuun,ID,74.66,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
210,Mangan,IN,77.86,overcast clouds,27.5167,88.5333,Hotel Mout View
211,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
213,Camargo,MX,83.35,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
216,Formosa,AR,71.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
224,San Francisco,US,72.1,broken clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
235,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
236,Mount Isa,AU,73.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
244,Pundaguitan,PH,83.16,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
253,Mao,ES,77.56,few clouds,39.8885,4.2658,ARTIEM Capri
257,Mangrol,IN,81.91,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
260,Waingapu,ID,75.42,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
262,Santa Cruz Cabralia,BR,73.63,scattered clouds,-16.2781,-39.0247,Portobali Hotel
263,Mayo,US,80.33,few clouds,38.8876,-76.5119,Resorts Resource Group International
265,Myitkyina,MM,74.95,clear sky,25.3833,97.4,Shwe Phyu Hotel
266,Obala,CM,74.12,light rain,4.1667,11.5333,The yafe
268,Rodrigues Alves,BR,84.4,clear sky,-7.738,-72.6509,Pousada Aconchego
269,Ternate,ID,81.55,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
274,Saryozek,KZ,75.7,overcast clouds,44.3583,77.9753,Gostinitsa
275,Meulaboh,ID,77.36,overcast clouds,4.1363,96.1285,Kost Pria
277,Rach Gia,VN,82.54,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
280,Namatanai,PG,78.22,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
282,Morondava,MG,74.26,few clouds,-20.2833,44.2833,La Case Bambou
289,Akaltara,IN,78.93,scattered clouds,22.0167,82.4333,Hotel Brindavan
292,Hambantota,LK,79.48,overcast clouds,6.1241,81.1185,Bungalow 63
294,Salinopolis,BR,83.46,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
297,Salalah,OM,76.24,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
300,Taiyuan,CN,73.26,clear sky,37.8694,112.5603,Jinjiang Inn
304,Faanui,PF,79.59,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
305,Lafia,NG,78.93,light rain,8.4833,8.5167,Low Cost Housing Estate
307,Nieuwpoort,BE,70.54,scattered clouds,51.1244,2.7735,Hotel Gemeente Huis
309,Wyndham,US,83.21,clear sky,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
