City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Netishyn,UA,50.34,26.6417,65.23,69,42,10.13,scattered clouds
199,Altay,CN,47.8667,88.1167,66.25,36,1,6.73,clear sky
200,Qaanaaq,GL,77.484,-69.3632,45.34,64,100,4.47,overcast clouds
201,Pisco,PE,-13.7,-76.2167,66.02,77,90,8.05,haze
202,Esperance,AU,-33.8667,121.9,49.84,77,93,9.24,light rain
203,Solenzo,BF,12.1833,-4.0833,84.06,64,93,5.08,overcast clouds
204,Tiksi,RU,71.6872,128.8694,47.26,68,27,2.19,scattered clouds
205,Bondo,CD,3.8146,23.6866,75.99,69,94,0.74,overcast clouds
206,Samarai,PG,-10.6167,150.6667,77.85,80,53,8.75,broken clouds
207,Chokurdakh,RU,70.6333,147.9167,35.22,81,10,7.67,clear sky
208,Te Anau,NZ,-45.4167,167.7167,38.86,91,100,2.64,overcast clouds
209,Pangkalanbuun,ID,-2.6833,111.6167,74.66,95,99,2.64,overcast clouds
210,Mangan,IN,27.5167,88.5333,77.86,93,94,1.7,overcast clouds
211,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,58,0,9.13,clear sky
212,Klaksvik,FO,62.2266,-6.589,50.92,83,100,11.36,overcast clouds
213,Camargo,MX,27.6667,-105.1667,83.35,39,31,4.7,scattered clouds
214,Kodinsk,RU,58.6881,99.1844,59.2,79,97,0.72,overcast clouds
215,Novopokrovka,UA,49.8425,36.5477,86.38,36,11,10.45,light rain
216,Formosa,AR,-26.1775,-58.1781,71.58,43,0,4.61,clear sky
217,Grindavik,IS,63.8424,-22.4338,55.35,82,75,9.22,broken clouds
218,Dikson,RU,73.5069,80.5464,46.47,80,100,12.03,overcast clouds
219,Pevek,RU,69.7008,170.3133,32.47,91,95,20.67,overcast clouds
220,Shalakusha,RU,62.2247,40.2539,65.8,68,88,3.51,overcast clouds
221,Cururupu,BR,-1.8283,-44.8683,88.95,43,79,3.85,broken clouds
222,Luis Correia,BR,-2.8792,-41.6669,89.6,48,20,8.05,few clouds
223,Hit,IQ,33.6416,42.8251,102.96,10,7,13.18,clear sky
224,San Francisco,US,37.7749,-122.4194,72.1,76,75,3.0,broken clouds
225,Coquimbo,CL,-29.9533,-71.3436,55.13,82,90,4.61,overcast clouds
226,Luderitz,NA,-26.6481,15.1594,68.9,37,0,5.35,clear sky
227,Bogdana,RO,43.9333,25.0833,96.03,17,6,12.3,clear sky
228,Yulara,AU,-25.2406,130.9889,40.84,45,0,8.05,clear sky
229,Presidente Medici,BR,-11.1753,-61.9014,94.19,17,27,8.12,scattered clouds
230,Medicina,IT,44.4787,11.6381,89.31,39,78,3.78,light rain
231,Twin Falls,US,42.3505,-114.6445,70.93,68,1,9.22,clear sky
232,Lavrentiya,RU,65.5833,-171.0,42.87,98,100,10.51,moderate rain
233,Smithers,CA,54.7804,-127.1743,68.32,64,20,4.61,few clouds
234,Ixtapa,MX,20.7,-105.2,88.23,73,24,3.76,few clouds
235,Alofi,NU,-19.0595,-169.9187,73.29,73,75,10.36,broken clouds
236,Mount Isa,AU,-20.7333,139.5,73.17,46,75,14.97,broken clouds
237,Sembe,CG,1.6481,14.5806,72.97,96,85,2.84,moderate rain
238,Krasnoselkup,RU,65.7,82.4667,63.91,70,59,8.95,broken clouds
239,Clyde River,CA,70.4692,-68.5914,46.63,71,40,13.8,scattered clouds
240,Easley,US,34.8298,-82.6015,85.82,49,1,1.99,clear sky
241,Bambous Virieux,MU,-20.3428,57.7575,67.21,82,20,6.91,few clouds
242,Ancud,CL,-41.8697,-73.8203,51.33,89,96,6.4,overcast clouds
243,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,16.11,light rain
244,Pundaguitan,PH,6.3711,126.1689,83.16,77,99,8.48,overcast clouds
245,Nikolskoye,RU,59.7035,30.7861,62.49,98,100,8.57,light rain
246,Nome,US,64.5011,-165.4064,56.16,94,90,13.8,mist
247,Pocone,BR,-16.2567,-56.6228,91.13,19,0,6.42,clear sky
248,Poum,NC,-20.2333,164.0167,67.39,65,6,8.84,clear sky
249,Castro,BR,-24.7911,-50.0119,65.48,51,9,3.49,clear sky
250,Tricase,IT,39.9304,18.3553,92.55,45,0,12.66,clear sky
251,Sitka,US,57.0531,-135.33,62.49,77,75,3.44,broken clouds
252,Neuquen,AR,-38.9516,-68.0591,57.09,47,0,6.91,clear sky
253,Mao,ES,39.8885,4.2658,77.56,57,20,12.66,few clouds
254,Thompson,CA,55.7435,-97.8558,69.96,60,20,6.91,smoke
255,Bagdarin,RU,54.4333,113.6,51.69,93,72,2.51,broken clouds
